Date,Adj Close,Close,High,Low,Open,Volume,LogRet,MA_5,MA_20,Vol_10,RSI_14,MACD,Signal,Target
2019-08-02,2932.050048828125,2932.050048828125,2945.5,2914.110107421875,2943.89990234375,3882810000,-0.007309388539565105,2980.027978515625,2993.827001953125,0.006665923708724217,32.41849998643144,-2.8117254449048232,4.364445418417418,2844.739990234375
2019-08-05,2844.739990234375,2844.739990234375,2898.070068359375,2822.1201171875,2898.070068359375,4542850000,-0.030230182169694777,2944.781982421875,2987.26650390625,0.011039415568592783,24.38582235150487,-13.785119259059684,0.7345324829219978,2881.77001953125
2019-08-06,2881.77001953125,2881.77001953125,2884.39990234375,2847.419921875,2861.179931640625,4156640000,0.012933023911166613,2918.5,2982.3735107421876,0.01189114788424425,34.369809502708534,-19.271449747788665,-3.266663963220135,2883.97998046875
2019-08-07,2883.97998046875,2883.97998046875,2892.169921875,2825.7099609375,2858.64990234375,4512720000,0.0007665823338588767,2899.22001953125,2976.9190063476562,0.011628054199857477,32.629967388425754,-23.17394598471037,-7.248120367518183,2938.090087890625
2019-08-08,2938.090087890625,2938.090087890625,2938.719970703125,2894.469970703125,2896.2099609375,4118530000,0.018588462466865085,2896.126025390625,2973.828015136719,0.0137311993933775,44.58228317526594,-21.650890923177485,-10.128674478650044,2918.64990234375
2019-08-09,2918.64990234375,2918.64990234375,2935.75,2900.14990234375,2930.510009765625,3356850000,-0.006638593133657111,2893.44599609375,2969.0720092773436,0.013355822472900517,40.94456090147735,-21.761664398101402,-12.455272462540316,2882.699951171875
2019-08-12,2882.699951171875,2882.699951171875,2907.580078125,2873.139892578125,2907.070068359375,3328570000,-0.012393809115915354,2901.03798828125,2962.4920043945312,0.013609756937164996,33.93191964713657,-24.468258930363845,-14.857869756105023,2926.320068359375
2019-08-13,2926.320068359375,2926.320068359375,2943.31005859375,2877.050048828125,2880.719970703125,3857190000,0.015018346267301863,2909.947998046875,2958.606005859375,0.014980927015652123,38.67239150694082,-22.83030217651958,-16.452356240187935,2840.60009765625
2019-08-14,2840.60009765625,2840.60009765625,2894.14990234375,2839.639892578125,2894.14990234375,4325150000,-0.02973035245453567,2901.272021484375,2951.4150146484376,0.017122978390985987,33.06262983219189,-28.1248886827143,-18.786862728693208,2847.60009765625
2019-08-15,2847.60009765625,2847.60009765625,2856.669921875,2825.510009765625,2846.199951171875,4041720000,0.0024612366981802422,2883.1740234375,2944.039514160156,0.017192938537974402,30.8816128557566,-31.394152883491188,-21.308320759652805,2888.679931640625
2019-08-16,2888.679931640625,2888.679931640625,2893.6298828125,2864.739990234375,2864.739990234375,3524080000,0.014323058172245003,2877.180029296875,2939.6430053710938,0.01802272533402021,36.833933491755715,-30.320750296930782,-23.110806667108402,2923.64990234375
2019-08-19,2923.64990234375,2923.64990234375,2931.0,2913.47998046875,2913.47998046875,3221050000,0.012033175564397505,2885.37001953125,2936.5739990234374,0.015281235937493405,41.546913747009725,-26.344602455963468,-23.757565824879418,2900.510009765625
2019-08-20,2900.510009765625,2900.510009765625,2923.6298828125,2899.60009765625,2919.010009765625,3067710000,-0.007946215312115467,2880.2080078125,2931.3260009765627,0.01515910592476341,42.31887379076622,-24.775080877894197,-23.961068835482376,2924.429931640625
2019-08-21,2924.429931640625,2924.429931640625,2928.72998046875,2917.909912109375,2922.0400390625,3016540000,0.008212979557352937,2896.973974609375,2926.5694946289063,0.015347289249476535,47.18282756591787,-21.354919709858223,-23.439839010357545,2922.949951171875
2019-08-22,2922.949951171875,2922.949951171875,2939.080078125,2904.510009765625,2930.93994140625,2893660000,-0.00050620295927854,2912.0439453125,2922.53349609375,0.014107954683321459,49.08446033905965,-18.550006470758035,-22.461872502437643,2847.110107421875
2019-08-23,2847.110107421875,2847.110107421875,2927.010009765625,2834.969970703125,2911.070068359375,3942520000,-0.02628888112283785,2903.72998046875,2913.59599609375,0.016259787753652527,50.24408542889441,-22.19093085356235,-22.407684172662584,2878.3798828125
2019-08-26,2878.3798828125,2878.3798828125,2879.27001953125,2856.0,2866.699951171875,2859790000,0.01092311273079789,2894.6759765625,2906.4664916992188,0.016352016285180685,49.646676376323505,-22.296163819144567,-22.385380101958983,2869.159912109375
2019-08-27,2869.159912109375,2869.159912109375,2898.7900390625,2860.590087890625,2893.139892578125,3537490000,-0.0032083218005562386,2888.40595703125,2899.265490722656,0.015465195072050984,48.47768069187623,-22.86002020075739,-22.480308121718664,2887.93994140625
2019-08-28,2887.93994140625,2887.93994140625,2890.030029296875,2853.050048828125,2861.280029296875,3102480000,0.006524151530562512,2881.107958984375,2894.6434936523438,0.012123514188275224,44.44540589652553,-21.543152975196335,-22.2928770924142,2924.580078125
2019-08-29,2924.580078125,2924.580078125,2930.5,2905.669921875,2910.3701171875,3177150000,0.012607482441094399,2881.433984375,2893.1944946289063,0.012613366124178254,50.632714875598204,-17.34305346791689,-21.30291236751474,2926.4599609375
2019-08-30,2926.4599609375,2926.4599609375,2940.429931640625,2913.320068359375,2937.090087890625,3009910000,0.0006425807598767749,2897.303955078125,2892.914990234375,0.01193223435880363,55.034986839554925,-13.704773419131925,-19.783284577838177,2906.27001953125
2019-09-03,2906.27001953125,2906.27001953125,2914.389892578125,2891.85009765625,2909.010009765625,3427830000,-0.0069230093326854165,2902.881982421875,2895.991491699219,0.011536723049158313,47.56158754383204,-12.308682969794518,-18.288364256229446,2937.780029296875
