Market,RMSE,MAE,filters,kernel_size,lstm_units,dropout,learning_rate
India,573.2513613942535,473.06636498679575,96,3,128,0.2,0.003613390279775994
Ireland,450.5662124177676,367.9441640074824,64,5,96,0.1,0.0011196725758620485
USA,206.79963611651297,172.708984375,96,5,128,0.4,0.00154976703990679
