Price,Close,High,Low,Open,Volume
Ticker,^ISEQ,^ISEQ,^ISEQ,^ISEQ,^ISEQ
Date,,,,,
2015-09-01,6260.35009765625,6405.97021484375,6203.56982421875,6405.97021484375,46131900
2015-09-02,6272.66015625,6297.31005859375,6244.77978515625,6260.35009765625,48728700
2015-09-03,6388.919921875,6388.919921875,6269.43017578125,6269.43017578125,47569500
2015-09-04,6314.56982421875,6388.919921875,6314.56982421875,6388.919921875,198692600
2015-09-07,6355.43994140625,6355.43994140625,6311.97021484375,6314.56982421875,24733900
2015-09-08,6406.56005859375,6445.43994140625,6355.43994140625,6355.43994140625,79600100
2015-09-09,6530.06005859375,6620.47021484375,6482.22021484375,6524.97021484375,66614500
2015-09-10,6494.759765625,6536.669921875,6435.6201171875,6518.4599609375,35864800
2015-09-11,6447.56005859375,6512.0400390625,6437.75,6494.759765625,35790700
2015-09-14,6405.93994140625,6488.93017578125,6405.93994140625,6447.56005859375,58615100
2015-09-15,6470.3701171875,6478.68017578125,6405.93994140625,6405.93994140625,42335700
2015-09-16,6492.259765625,6544.240234375,6470.3701171875,6470.3701171875,58586900
2015-09-17,6518.6298828125,6525.35009765625,6473.2001953125,6491.68017578125,68839500
2015-09-18,6467.169921875,6518.6298828125,6434.7001953125,6518.6298828125,137503400
2015-09-21,6503.93017578125,6511.06005859375,6453.27978515625,6467.169921875,36189200
2015-09-22,6359.27978515625,6503.93017578125,6352.10009765625,6503.93017578125,50068800
2015-09-23,6380.68994140625,6429.85986328125,6307.31005859375,6359.27978515625,66764800
2015-09-24,6197.81005859375,6402.06005859375,6197.81005859375,6379.91015625,98807600
2015-09-25,6304.27978515625,6340.330078125,6197.81005859375,6197.81005859375,67971000
2015-09-28,6222.9599609375,6373.22998046875,6213.490234375,6304.27978515625,39170100
2015-09-29,6055.9599609375,6222.9599609375,6055.9599609375,6222.9599609375,45944300
2015-09-30,6167.41015625,6170.18017578125,6055.9599609375,6055.9599609375,60141400
2015-10-01,6133.22998046875,6254.009765625,6120.81982421875,6163.990234375,69199900
2015-10-02,6091.259765625,6185.22021484375,6038.27978515625,6133.22998046875,80033600
2015-10-05,6266.2099609375,6281.740234375,6091.259765625,6091.259765625,97851600
2015-10-06,6287.64013671875,6343.39990234375,6245.52978515625,6266.2099609375,129499500
2015-10-07,6180.7998046875,6288.0498046875,6178.52001953125,6287.64013671875,117773300
2015-10-08,6174.7900390625,6217.1298828125,6161.2001953125,6181.1298828125,49814400
2015-10-09,6136.490234375,6231.509765625,6130.3798828125,6174.7900390625,70236600
2015-10-12,6133.0400390625,6158.4599609375,6092.64013671875,6136.490234375,37131800
2015-10-13,6151.14013671875,6174.14013671875,6115.58984375,6133.0400390625,43597900
2015-10-14,6136.2001953125,6156.759765625,6102.93994140625,6151.14013671875,32205400
2015-10-15,6234.3798828125,6240.89990234375,6129.0,6134.52001953125,87501400
2015-10-16,6287.259765625,6301.5400390625,6234.3798828125,6234.3798828125,223850000
2015-10-19,6287.14990234375,6298.91015625,6225.43994140625,6287.259765625,87081700
2015-10-20,6298.77001953125,6315.5,6258.39990234375,6287.14990234375,59823000
2015-10-21,6356.68017578125,6370.4501953125,6279.9501953125,6298.77001953125,52197900
2015-10-22,6415.10009765625,6415.10009765625,6277.490234375,6356.68017578125,60088500
2015-10-23,6523.81982421875,6533.509765625,6415.10009765625,6415.10009765625,140923100
2015-10-26,6478.7900390625,6529.68017578125,6478.7900390625,6523.81982421875,42988400
2015-10-27,6388.77978515625,6483.169921875,6388.77978515625,6478.7900390625,60673700
2015-10-28,6446.85986328125,6448.169921875,6360.47021484375,6360.6298828125,60056200
2015-10-29,6400.5,6486.14013671875,6384.2998046875,6446.85986328125,125873000
2015-10-30,6428.5498046875,6428.5498046875,6371.0400390625,6400.5,112125900
2015-11-02,6497.47998046875,6500.669921875,6354.41015625,6391.31982421875,73576300
2015-11-03,6504.5400390625,6525.52001953125,6482.75,6497.47998046875,96903500
2015-11-04,6541.18994140625,6547.7900390625,6477.6298828125,6504.5400390625,310761100
2015-11-05,6531.4599609375,6571.85009765625,6487.35009765625,6540.06005859375,143815100
2015-11-06,6600.2900390625,6666.41015625,6531.4599609375,6531.4599609375,74276900
2015-11-09,6528.330078125,6625.419921875,6522.0498046875,6600.2900390625,42762000
2015-11-10,6533.7900390625,6564.240234375,6468.47021484375,6528.330078125,52394600
2015-11-11,6558.60986328125,6606.5,6533.7900390625,6533.7900390625,56801400
2015-11-12,6494.06982421875,6578.52978515625,6483.2900390625,6558.60986328125,60949500
2015-11-13,6475.759765625,6496.56005859375,6448.509765625,6494.06982421875,35063500
2015-11-16,6490.330078125,6498.4599609375,6413.490234375,6475.759765625,38757300
2015-11-17,6578.5400390625,6610.52001953125,6490.330078125,6490.330078125,139293400
2015-11-18,6554.64013671875,6578.5400390625,6510.9501953125,6578.5400390625,78492300
2015-11-19,6687.93017578125,6705.009765625,6554.3701171875,6554.3701171875,171153500
2015-11-20,6714.3701171875,6724.5498046875,6669.35009765625,6687.93017578125,204907800
2015-11-23,6726.8798828125,6731.18017578125,6681.66015625,6714.3701171875,321899900
2015-11-24,6646.1201171875,6726.8798828125,6600.81005859375,6726.8798828125,144632500
2015-11-25,6710.85009765625,6754.22998046875,6646.1201171875,6646.1201171875,170549200
2015-11-26,6811.7099609375,6812.64990234375,6710.85009765625,6710.85009765625,41709400
2015-11-27,6798.580078125,6811.7099609375,6758.52978515625,6811.7099609375,49701800
2015-11-30,6838.47998046875,6863.77001953125,6790.77978515625,6798.580078125,90080000
2015-12-01,6851.009765625,6858.66015625,6824.759765625,6838.22021484375,96609900
2015-12-02,6886.56005859375,6920.7001953125,6851.009765625,6851.009765625,93104500
2015-12-03,6751.740234375,6921.43994140625,6741.06982421875,6885.2099609375,96097400
2015-12-04,6753.02001953125,6783.580078125,6724.72998046875,6751.740234375,31407200
2015-12-07,6847.7998046875,6884.330078125,6753.02001953125,6753.02001953125,51731900
2015-12-08,6756.2001953125,6847.7998046875,6721.419921875,6847.7998046875,44279600
2015-12-09,6713.9599609375,6783.56005859375,6708.91015625,6756.2001953125,54942400
2015-12-10,6684.81005859375,6740.85009765625,6667.02001953125,6713.9599609375,67879600
2015-12-11,6628.14990234375,6700.72021484375,6619.27001953125,6684.81005859375,58857600
2015-12-14,6589.9599609375,6711.75,6589.9599609375,6628.14990234375,64245300
2015-12-15,6656.31982421875,6669.7001953125,6591.16015625,6591.16015625,57920300
2015-12-16,6653.490234375,6677.25,6643.06982421875,6655.97021484375,43865900
2015-12-17,6751.33984375,6776.8701171875,6653.490234375,6653.490234375,83389200
2015-12-18,6747.990234375,6751.33984375,6686.669921875,6751.33984375,109112500
