Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^ISEQ,^ISEQ,^ISEQ,^ISEQ,^ISEQ,^ISEQ
Date,,,,,,
2019-08-05,5809.5498046875,5809.5498046875,5974.52001953125,5809.5498046875,5974.52001953125,19230700
2019-08-06,5781.64013671875,5781.64013671875,5840.33984375,5781.64013671875,5809.5498046875,26859000
2019-08-07,5816.16015625,5816.16015625,5843.5,5779.4501953125,5784.25,28896300
2019-08-08,5943.64990234375,5943.64990234375,5943.83984375,5843.14990234375,5843.14990234375,18997800
2019-08-09,5862.2900390625,5862.2900390625,5944.009765625,5860.2900390625,5944.009765625,28531800
2019-08-12,5842.31982421875,5842.31982421875,5921.18017578125,5829.5498046875,5872.419921875,17473500
2019-08-13,5851.080078125,5851.080078125,5902.02978515625,5772.8701171875,5843.18994140625,33045400
2019-08-14,5748.1298828125,5748.1298828125,5863.0,5736.22021484375,5851.27978515625,120546000
2019-08-15,5697.77001953125,5697.77001953125,5792.33984375,5659.27978515625,5750.16015625,39493800
2019-08-16,5773.27001953125,5773.27001953125,5782.06005859375,5697.77001953125,5697.77001953125,42547300
2019-08-19,5813.52001953125,5813.52001953125,5844.8701171875,5773.4501953125,5773.4501953125,28313500
2019-08-20,5693.3798828125,5693.3798828125,5818.14990234375,5693.3798828125,5814.4599609375,27743900
2019-08-21,5795.22021484375,5795.22021484375,5798.7099609375,5694.490234375,5694.490234375,46485400
2019-08-22,5768.330078125,5768.330078125,5804.41015625,5753.64990234375,5796.27001953125,32156800
2019-08-23,5749.4599609375,5749.4599609375,5851.10986328125,5739.22998046875,5770.8701171875,36167000
2019-08-26,5743.33984375,5743.33984375,5786.97021484375,5716.39013671875,5750.06005859375,8929700
2019-08-27,5831.33984375,5831.33984375,5831.33984375,5709.75,5744.72998046875,32581200
2019-08-28,5757.580078125,5757.580078125,5831.33984375,5735.47021484375,5831.33984375,30602000
2019-08-29,5847.10009765625,5847.10009765625,5857.72021484375,5748.83984375,5754.2099609375,24295300
2019-08-30,5879.419921875,5879.419921875,5910.02978515625,5846.5400390625,5846.5400390625,26373000
2019-09-02,5909.56005859375,5909.56005859375,5931.75,5883.89990234375,5883.89990234375,17569800
2019-09-03,5868.47998046875,5868.47998046875,5914.759765625,5853.330078125,5914.759765625,27311900
2019-09-04,5962.18994140625,5962.18994140625,5971.58984375,5868.56005859375,5868.56005859375,28303400
2019-09-05,6031.580078125,6031.580078125,6043.1298828125,5959.3701171875,5959.3701171875,30499400
2019-09-06,6062.06982421875,6062.06982421875,6078.39013671875,6031.47021484375,6031.580078125,31823300
2019-09-09,6044.72021484375,6044.72021484375,6088.740234375,6024.89013671875,6052.2001953125,16557400
2019-09-10,6146.22998046875,6146.22998046875,6146.52001953125,6004.1298828125,6041.66015625,35597700
2019-09-11,6231.60986328125,6231.60986328125,6238.02001953125,6146.1201171875,6146.1201171875,37172300
2019-09-12,6182.1201171875,6182.1201171875,6261.8798828125,6181.89990234375,6230.47021484375,30039900
2019-09-13,6282.27001953125,6282.27001953125,6297.240234375,6186.39013671875,6186.39013671875,23394700
2019-09-16,6206.990234375,6206.990234375,6281.919921875,6190.43017578125,6281.919921875,18284700
2019-09-17,6107.0498046875,6107.0498046875,6207.14013671875,6070.75,6193.83984375,21779000
2019-09-18,6071.8701171875,6071.8701171875,6129.85986328125,6071.8701171875,6107.830078125,37098000
2019-09-19,6105.330078125,6105.330078125,6125.77978515625,6048.5400390625,6078.27978515625,29449200
2019-09-20,6120.740234375,6120.740234375,6153.18017578125,6103.14990234375,6104.9599609375,73885400
2019-09-23,6070.240234375,6070.240234375,6152.60986328125,6038.080078125,6120.740234375,28686300
2019-09-24,6113.3798828125,6113.3798828125,6121.43994140625,6073.22998046875,6073.22998046875,38021800
2019-09-25,6066.56982421875,6066.56982421875,6104.39013671875,6007.89013671875,6098.830078125,23540300
2019-09-26,6101.83984375,6101.83984375,6101.83984375,6057.0400390625,6067.18017578125,20126100
2019-09-27,6177.0,6177.0,6182.77001953125,6102.0,6102.0,19986400
2019-09-30,6244.3701171875,6244.3701171875,6262.56982421875,6178.06005859375,6178.27978515625,24433700
